"InChIKey","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3","Parent Level 4"
"PERDMKQFFPTEJL-PFSSXTEVSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"WCQZHMYXJPCKJF-YKISTCFVSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"VCWYTXXFJMLXBV-PBYGZRPHSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"STHVLFLKSIMKHT-DLZOOJRJSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"QDCPCPBYFNXINO-RQFZCCHVSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids"
"KPQXJVQFJZUGRC-OYMROJHFSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids"
"RTRPDDKCVKBLPF-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones"
"HBFARTJEFUKQDS-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones"
"HPFHYVCJRAWMEL-BQYQJAHWSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Styrenes","Styrenes"
"UASYVGIIXUPYNP-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones"
"ZEVRIGOUYMJMLE-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones"
"CLIQWBFKECNQNU-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones"
"LVYNFVWIKWLONP-ZWSQSZCWSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Acyclic monoterpenoids"
"DEBRBEDKRGQAPL-RPKNRIRISA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"LRTJMINIVSPVMX-ZVJWTWILSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"NNHQJGYIKGOYDM-OXKNUSSDSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"DYTYLMNUPWHHGQ-GYCFJXGYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"BHOYNBJAHBSDKO-DLZOOJRJSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"LVYNFVWIKWLONP-VQSCWRMTSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Acyclic monoterpenoids"
"LVYNFVWIKWLONP-UNSUFORISA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Acyclic monoterpenoids"
"ZQVAGUCMGLTYLM-XYGWJPTCSA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides"
"LEKPXUJAHHIWPQ-JUSKRKDISA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides"
"JENXRARIASYFRK-LXTLSNALSA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides"
"XVVKSDYJVOKNQB-YUSBRPJASA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Depsipeptides","Depsipeptides"
"CTSHOLUODOXUMF-IDMHJFSFSA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides"
"MSPVQUNLNAOKSA-UGPVNDJUSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"GEDJRTIHPXSXQU-UTZCMNFHSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"DRLRUDYYKDPJRO-GCLCDYDMSA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides"
"HHPYBXDTISREJE-PVJKQRFOSA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides"
"KRIOFTHWUQTAOK-NELHGDMNSA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides"
"CUYVVUGLFUIZAZ-GZGJOHPPSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolides and analogues","","Macrolides and analogues"
"BYVUBCIRZIXXCV-HPOSSMEGSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolides and analogues","","Macrolides and analogues"
"NUEKUSNLADIYQR-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Anilides","Aromatic anilides","Benzanilides"
"HPDAHGRYYHSHHB-YFXFWNCGSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Anilides","Aromatic anilides","Benzanilides"
"TZTXOYPVRYYVCQ-VQIIKMDRSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Anilides","Aromatic anilides","Benzanilides"
"YMZCVMCOXRUUOU-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Long-chain fatty alcohols"
"LWKKDIVQNVHWJW-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","Chromones"
"LVSJIUVBRUVOBV-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","Chromones"
"CCECQTYASQQDFO-XRAPCCOVSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides"
"APDRBULCOHVYMR-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","Chromones"
"RLWHIXKLYIZKFG-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","Chromones"
"SEWMKBAMJNKEQR-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","Chromones"
"XAFVAXJSLRHROK-HQURSRCASA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides"
"HGQBQUQITHSXOR-SDSVIOFZSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides"
"NBGUCOVFEAKNNN-RKNQVCGKSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides"
"JHIJPLFWJXRAEW-PWFOTUCGSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Isoleucine and derivatives"
"DOYIXGPYLLRQLL-PKHFACMMSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides"
"RXKZEOMBVZELEA-UZNIZVIGSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides"
"KCPIHEYQIBMMLE-BDVXFMJFSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides"
"IVAMWOWNWPBUJU-ZTJQOVPWSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides"
"OPSFAUGRWOZBRK-HQURSRCASA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides"
"QFLHIKUPIBOTKU-XXIVNECHSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides"
"XXUVTCOCVSDKNZ-AHOUOKPHSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides"
"PRYQWZDWIKKKKA-GAWLOLQLSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolides and analogues","","Macrolides and analogues"
"WRJITTKUXGEQBF-KJKBHKFMSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolides and analogues","","Macrolides and analogues"
"JOMXBNJRLRZHRP-FHBZPYIYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolides and analogues","","Macrolides and analogues"
"DCUUIFQQELZBFD-OUEDXNQNSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolides and analogues","","Macrolides and analogues"
"ABYMZHOAONVEQS-VROXFSQNSA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Depsipeptides","Cyclic depsipeptides"